user_id,new_track_id,play_count,new_user_id
7161,8903,1,673
4964,3785,1,455
3139,12420,1,288
18057,2605,1,1808
10227,15118,1,986
193,12726,1,14
4762,11391,1,435
1564,7955,1,142
2310,9114,1,211
5236,4703,2,492
13476,245,2,1331
577,1714,1,47
1155,471,1,104
669,8262,1,59
56,3881,1,2
1577,10641,2,144
641,1975,1,56
3766,5791,1,340
9090,454,1,874
188,10873,1,13
2549,6641,1,241
6696,3893,1,627
16552,6721,1,1656
11982,13705,1,1174
5970,15033,1,567
13348,1758,1,1320
16148,4887,1,1618
14577,14679,1,1456
2058,5572,1,182
188,1441,1,13
11568,13980,1,1128
3025,5384,1,279
7834,613,2,740
12480,6050,1,1221
5153,2032,1,477
7383,2773,1,696
4020,11167,1,368
2403,12400,1,220
6449,3660,1,604
10492,13882,1,1008
1144,8726,1,103
8787,7169,1,845
10936,1421,1,1062
5903,11204,1,555
8695,359,1,830
10113,7255,2,977
12654,9771,1,1241
2058,9274,1,182
18162,11703,1,1820
3178,850,1,292
2292,9311,1,209
3182,5463,1,294
5350,8217,1,502
6592,6565,1,616
1609,5568,1,147
11026,4211,1,1067
5759,14201,2,540
17453,10457,1,1746
0,1579,2,0
9763,5233,1,937
4468,12986,1,406
7145,3639,1,671
13476,527,1,1331
6449,9758,1,604
1166,3190,2,105
4830,5840,2,440
2138,10876,1,188
12616,14288,1,1237
10297,14843,1,991
2209,8690,1,196
2821,6819,1,266
12684,2932,1,1246
14192,10783,1,1400
940,9916,2,80
7441,10128,1,705
946,8968,1,81
1144,3467,1,103
17936,14159,1,1791
2491,14575,1,230
4801,5066,1,438
4472,10464,1,407
10425,13178,1,1001
8292,11925,1,791
1544,2365,1,139
3424,3589,1,313
5929,12201,1,561
9603,633,1,918
8503,4928,1,804
11778,5619,1,1152
10377,5774,1,995
15256,14885,1,1531
7296,5351,1,692
11153,251,1,1078
243,5625,1,18
13110,2998,2,1298
193,12093,1,14
18298,236,1,1830
17555,9534,1,1753
9228,2607,1,885
12398,13157,1,1210
812,4062,2,73
6568,8531,1,612
17960,4196,1,1795
1663,2258,1,153
12734,164,1,1248
9097,15074,1,875
3340,75,1,305
1712,3688,1,159
14819,967,1,1486
11858,13501,1,1163
14523,13986,1,1449
3291,11166,1,302
1725,14703,1,160
16744,14026,1,1674
10262,9679,1,988
6224,14858,1,585
1166,1747,1,105
4964,9987,1,455
812,4111,1,73
6909,6951,1,647
9657,7851,1,927
15116,6239,1,1518
8248,9071,1,787
5105,15298,1,468
5899,1752,1,554
474,2865,1,38
4225,4789,1,383
4746,13066,2,432
7840,12775,1,742
18085,1764,1,1810
14418,418,1,1437
1668,8679,1,154
3856,6384,1,354
3362,12287,1,308
10743,271,1,1042
13349,3627,1,1321
6456,6042,1,605
14349,8991,1,1425
16740,200,1,1673
5172,13221,1,480
13485,9980,1,1333
4027,5010,1,369
11780,1605,1,1153
10385,4416,1,998
12369,871,3,1206
3312,2939,1,304
1514,3028,1,135
11958,9990,2,1171
5149,502,1,476
2892,7760,1,268
1544,12618,1,139
7246,842,1,683
9657,7615,1,927
6980,6190,1,654
10877,1978,1,1054
10834,3715,1,1048
5855,9169,1,551
3350,2177,1,307
2178,1451,1,190
2434,246,1,224
14275,12377,1,1413
6289,852,1,586
4027,376,1,369
6774,5071,1,635
1609,3970,1,147
2343,5752,1,214
577,10384,1,47
4001,7526,1,367
1634,14606,1,151
8043,9185,1,765
669,10846,1,59
188,15295,1,13
13573,1122,1,1344
12704,14763,1,1247
11587,8735,1,1133
4346,3270,1,397
188,13968,1,13
9653,11592,1,926
14242,2822,1,1407
9603,10809,1,918
10227,8893,1,986
56,1809,1,2
10620,126,1,1025
12021,398,1,1178
2403,2790,1,220
3652,4647,1,332
12063,12295,1,1180
6892,14661,1,644
17570,7894,1,1754
3676,15393,1,334
56,10924,1,2
933,3187,1,78
6131,403,2,580
2017,862,1,181
2310,11465,1,211
4115,6129,1,376
10290,14220,1,990
8070,9663,1,768
14719,286,1,1474
14743,9870,1,1476
2496,4448,1,231
9413,9296,1,903
10559,6389,2,1016
4027,5014,1,369
6131,12409,2,580
13110,2545,1,1298
1794,2267,1,165
14418,3389,1,1437
2847,15258,1,267
1881,10229,1,171
17453,6413,1,1746
9160,1972,1,878
4275,1668,1,390
2276,2868,1,207
4481,11954,1,409
3181,2727,1,293
4275,10019,1,390
11174,0,1,1081
15848,1919,1,1589
12393,2020,1,1209
2675,14424,1,258
15718,6901,1,1572
7080,4753,2,666
1725,1812,1,160
8289,13246,1,790
7446,14789,1,707
15706,4074,1,1571
8356,10150,1,795
946,817,2,81
3856,6171,1,354
7544,7528,1,713
9657,6639,1,927
16786,15584,1,1679
15003,1822,1,1504
11695,12495,1,1142
812,878,2,73
4801,7310,1,438
12446,842,2,1214
14408,12705,1,1434
1670,14586,1,155
16552,10163,1,1656
4964,13001,1,455
12441,14678,1,1213
11586,10980,1,1132
10041,4486,1,971
3259,5933,2,298
5510,1584,1,515
15294,2813,1,1533
9682,11181,1,928
2609,3332,1,251
8766,245,2,840
15432,2520,1,1545
10221,73,2,985
12494,467,1,1223
9763,6513,1,937
14209,14519,1,1401
9715,297,1,930
14973,6426,1,1500
2637,3146,1,254
1023,2475,1,87
6224,11174,1,585
5561,9114,1,518
3856,2334,1,354
8184,5900,1,779
2317,15732,1,212
5976,0,2,569
4453,4,1,404
16622,6908,1,1665
2058,6382,1,182
4225,1746,1,383
10235,4843,1,987
2894,11433,1,269
293,5597,2,21
5970,7544,1,567
15132,15216,1,1521
18204,12616,1,1825
9703,13119,1,929
4257,8721,1,386
17701,960,1,1763
11568,1672,1,1128
9020,8848,3,868
3821,5173,1,349
8860,12579,1,853
10364,3435,1,993
2108,8713,1,185
16916,10978,1,1690
9657,8004,1,927
8317,15584,1,793
4472,7668,1,407
17187,3921,1,1717
15908,14886,1,1592
15939,14471,21,1595
1725,13047,1,160
17414,1702,1,1738
15432,5345,1,1545
5153,14501,2,477
785,871,1,71
8339,1271,1,794
6909,2532,1,647
11153,4983,1,1078
11743,7509,1,1148
13749,15562,1,1361
4186,2917,1,380
2317,479,1,212
321,14201,1,25
1531,7641,1,137
570,4392,1,45
4540,10201,1,417
4762,2445,1,435
9563,2007,1,913
10855,15133,2,1051
10968,5449,1,1065
