track_id,track_artist,artist,track
0,DNA.;Kendrick Lamar,Kendrick Lamar,DNA.
1,Coffee;BTS,BTS,Coffee
2,Love You to Death;Type O Negative,Type O Negative,Love You to Death
3,Mask Off;Future,Future,Mask Off
4,Redbone;Childish Gambino,Childish Gambino,Redbone
5,Lying Is The Most Fun A Girl C;Panic! at the Disco,Panic! at the Disco,Lying Is The Most Fun A Girl C
6,Dirty Mouth;Lil Yachty,Lil Yachty,Dirty Mouth
7,Like Whaaat;Bad Lucc,Bad Lucc,Like Whaaat
8,It Ain't Me;Selena Gomez,Selena Gomez,It Ain't Me
9,Fabuless;Stone Sour,Stone Sour,Fabuless
10,American Idiot;Green Day,Green Day,American Idiot
11,Cut to the Feeling;Carly Rae Jepsen,Carly Rae Jepsen,Cut to the Feeling
12,Can't Tell Me Nothing;Kanye West,Kanye West,Can't Tell Me Nothing
13,You Can't;The Supremes,The Supremes,You Can't
14,The Ladder;Prince,Prince,The Ladder
15,Teachme;Musiq Soulchild,Musiq Soulchild,Teachme
16,By Design;Kid Cudi,Kid Cudi,By Design
17,Summertime;DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff & The Fresh Prince,Summertime
18,Both Eyes Closed;Young Dolph,Young Dolph,Both Eyes Closed
19,First Day Out;Tee Grizzley,Tee Grizzley,First Day Out
20,Greedy;Ariana Grande,Ariana Grande,Greedy
21,Brothers in Arms;Dire Straits,Dire Straits,Brothers in Arms
22,Between Me & You;Christina Milian,Christina Milian,Between Me & You
23,Movin' on Up;Primal Scream,Primal Scream,Movin' on Up
24,Riders on the Storm;The Doors,The Doors,Riders on the Storm
25,Sabotage;Lloyd,Lloyd,Sabotage
26,Loyalty;Kendrick Lamar,Kendrick Lamar,Loyalty
27,Modern Ruin;Frank Carter & The Rattlesnakes,Frank Carter & The Rattlesnakes,Modern Ruin
28,I Got Love;Nate Dogg,Nate Dogg,I Got Love
29,Night Bus;Gabrielle Aplin,Gabrielle Aplin,Night Bus
30,Run Up;PARTYNEXTDOOR,PARTYNEXTDOOR,Run Up
31,We Gonna Make It;Styles,Styles,We Gonna Make It
32,To Live and Die in L.A.;Makaveli,Makaveli,To Live and Die in L.A.
33,Soy peor;Bad Bunny,Bad Bunny,Soy peor
34,Ad Girl;Usher,Usher,Ad Girl
35,Orange Moon;Erykah Badu,Erykah Badu,Orange Moon
36,Night Ride;The Growlers,The Growlers,Night Ride
37,Huey Knew;Ab-Soul,Ab-Soul,Huey Knew
38,Bucket List;Gucci Mane,Gucci Mane,Bucket List
39,Shake;Ying Yang Twins,Ying Yang Twins,Shake
40,Issues;Julia Michaels,Julia Michaels,Issues
41,I'll Be Missing You;Puff Daddy,Puff Daddy,I'll Be Missing You
42,Wait a Minute!;Willow,Willow,Wait a Minute!
43,Daytona 500;Ghostface Killah,Ghostface Killah,Daytona 500
44,Ex Calling;6LACK,6LACK,Ex Calling
45,Paradise;Daniel Caesar,Daniel Caesar,Paradise
46,The Sound of Silence;Disturbed,Disturbed,The Sound of Silence
47,In Check;Bryson Tiller,Bryson Tiller,In Check
48,Be Yourself;Audioslave,Audioslave,Be Yourself
49,Run Me Dry;Bryson Tiller,Bryson Tiller,Run Me Dry
50,Let Her Go;Passenger,Passenger,Let Her Go
51,Hard to Love;Lee Brice,Lee Brice,Hard to Love
52,Make It Wit Chu;Queens of the Stone Age,Queens of the Stone Age,Make It Wit Chu
53,MY PYT;Wale,Wale,MY PYT
54,Malibu;Miley Cyrus,Miley Cyrus,Malibu
55,But I'm Bulletproof;Young Dolph,Young Dolph,But I'm Bulletproof
56,My Heart;Toni Braxton,Toni Braxton,My Heart
57,Cheerleader;OMI,OMI,Cheerleader
58,Get It Over With;Rihanna,Rihanna,Get It Over With
59,"Mama, I'm Coming Home;Ozzy Osbourne",Ozzy Osbourne,"Mama, I'm Coming Home"
60,Third Day of a Seven Day Binge;Marilyn Manson,Marilyn Manson,Third Day of a Seven Day Binge
61,Heatstroke;Calvin Harris,Calvin Harris,Heatstroke
62,Pardon Me;Incubus,Incubus,Pardon Me
63,Comfort Inn Ending;Jhené Aiko,Jhené Aiko,Comfort Inn Ending
64,Figure It Out;Royal Blood,Royal Blood,Figure It Out
65,You Only Live Once;The Strokes,The Strokes,You Only Live Once
66,Warning Sign;Coldplay,Coldplay,Warning Sign
67,Square Biz;Teena Marie,Teena Marie,Square Biz
68,Space Lord;Monster Magnet,Monster Magnet,Space Lord
69,Amsterdam;Nothing But Thieves,Nothing But Thieves,Amsterdam
70,Everyday;Gold,Gold,Everyday
71,Unforgettable;French Montana,French Montana,Unforgettable
72,Spaceship;Kanye West,Kanye West,Spaceship
73,Time Is Running Out;Muse,Muse,Time Is Running Out
74,Met Gala;Gucci Mane,Gucci Mane,Met Gala
75,Crew;GoldLink,GoldLink,Crew
76,Plug;Gucci Mane,Gucci Mane,Plug
77,"10,000 Hours;Ella Mai",Ella Mai,"10,000 Hours"
78,Breathe;Mastodon,Mastodon,Breathe
79,Most Girls;Hailee Steinfeld,Hailee Steinfeld,Most Girls
80,Desperado;Rihanna,Rihanna,Desperado
81,"Yeah, I Said It;Rihanna",Rihanna,"Yeah, I Said It"
82,I Feel Like;2 Chainz,2 Chainz,I Feel Like
83,Miss You;Gabrielle Aplin,Gabrielle Aplin,Miss You
84,Quit;Ariana Grande,Ariana Grande,Quit
85,Cranes in the Sky;Solange,Solange,Cranes in the Sky
86,"Smuckers;Tyler, the Creator","Tyler, the Creator",Smuckers
87,Coachella - Woodstock in My Mind;Lana Del Rey,Lana Del Rey,Coachella - Woodstock in My Mind
88,Uprising;Muse,Muse,Uprising
89,Don't Wanna Cry;SEVENTEEN,SEVENTEEN,Don't Wanna Cry
90,Unravel Me;Sabrina Claudio,Sabrina Claudio,Unravel Me
91,Call On Me;Starley,Starley,Call On Me
92,4 Da Fam;Memphis Bleek,Memphis Bleek,4 Da Fam
93,Don't Trust;Khia,Khia,Don't Trust
94,Dreams;Don,Don,Dreams
95,Change Locations;Drake,Drake,Change Locations
96,Born to Run;Bruce Springsteen,Bruce Springsteen,Born to Run
97,Never Gonna Be Alone;Nickelback,Nickelback,Never Gonna Be Alone
98,Encore;Cheryl Lynn,Cheryl Lynn,Encore
99,Burn It to the Ground;Nickelback,Nickelback,Burn It to the Ground
100,Shhh;Prince,Prince,Shhh
101,Bad Reputation;Thin Lizzy,Thin Lizzy,Bad Reputation
102,Sneakin’;Drake,Drake,Sneakin’
103,Once Bitten Twice Shy;Great White,Great White,Once Bitten Twice Shy
104,Kill Jill;Killer Mike,Killer Mike,Kill Jill
105,If You Want Blood;AC/DC,AC/DC,If You Want Blood
106,Lone Digger;Caravan Palace,Caravan Palace,Lone Digger
107,Beep Me 911;Missy Elliott,Missy Elliott,Beep Me 911
108,Girl;Prince,Prince,Girl
109,Show Yourself;Mastodon,Mastodon,Show Yourself
110,Beyond;...,...,Beyond
111,Writing's On The Wal;Sam Smith,Sam Smith,Writing's On The Wal
112,Semi-Charmed Life;Third Eye Blind,Third Eye Blind,Semi-Charmed Life
113,All Around Me;Lil Yachty,Lil Yachty,All Around Me
114,D.R.U.G.S.;Ab-Soul,Ab-Soul,D.R.U.G.S.
115,Miracle Aligner;The Last Shadow Puppets,The Last Shadow Puppets,Miracle Aligner
116,LOVE.;Kendrick Lamar,Kendrick Lamar,LOVE.
117,The Canvas;SiR,SiR,The Canvas
118,Iris;Goo Goo Dolls,Goo Goo Dolls,Iris
119,Grove St. Party;Waka Flocka Flame,Waka Flocka Flame,Grove St. Party
120,Where Is My Mind;Pixies,Pixies,Where Is My Mind
121,Legendary;Joey Bada$$,Joey Bada$$,Legendary
122,The Kill;Thirty Seconds to Mars,Thirty Seconds to Mars,The Kill
123,Deep;Big Sean,Big Sean,Deep
124,Promise;Chris Cornell,Chris Cornell,Promise
125,Never Too Late;Three Days Grace,Three Days Grace,Never Too Late
126,Your Song;Rita Ora,Rita Ora,Your Song
127,Say It Again;H.E.R.,H.E.R.,Say It Again
128,Nearly Forgot My Broken Heart;Chris Cornell,Chris Cornell,Nearly Forgot My Broken Heart
129,Don't;Bryson Tiller,Bryson Tiller,Don't
130,Juicy;The Notorious B.I.G.,The Notorious B.I.G.,Juicy
131,Sunshower;Chris Cornell,Chris Cornell,Sunshower
132,Treat Me Like Fire;LION BABE,LION BABE,Treat Me Like Fire
133,I Will Wait;Mumford & Sons,Mumford & Sons,I Will Wait
134,G.O.M.D.;J. Cole,J. Cole,G.O.M.D.
135,Rockets;LION BABE,LION BABE,Rockets
136,Under Pressure;David Bowie,David Bowie,Under Pressure
137,One Night;Lil Yachty,Lil Yachty,One Night
138,I Would Like;Zara Larsson,Zara Larsson,I Would Like
139,Borderline With My Atoms;Hiatus Kaiyote,Hiatus Kaiyote,Borderline With My Atoms
140,The Cave;Mumford & Sons,Mumford & Sons,The Cave
141,May I Have This Dance;Francis and the Lights,Francis and the Lights,May I Have This Dance
142,Breathing Underwater;Hiatus Kaiyote,Hiatus Kaiyote,Breathing Underwater
143,Symbolic;Death,Death,Symbolic
144,God Gave Me You;Blake Shelton,Blake Shelton,God Gave Me You
145,If I Ever Feel Better;Phoenix,Phoenix,If I Ever Feel Better
146,Chained to the Rhythm;Katy Perry,Katy Perry,Chained to the Rhythm
147,Hand in My Pocket;Alanis Morissette,Alanis Morissette,Hand in My Pocket
148,Tell Me;Jevon Doe,Jevon Doe,Tell Me
149,Same Clothes as Yesterday;GoldLink,GoldLink,Same Clothes as Yesterday
150,Idols Become Rivals;Chris Rock,Chris Rock,Idols Become Rivals
151,Trap Paris;Machine Gun Kelly,Machine Gun Kelly,Trap Paris
152,My Immortal;Evanescence,Evanescence,My Immortal
153,The Fighter;Keith Urban,Keith Urban,The Fighter
154,Unsteady;X Ambassadors,X Ambassadors,Unsteady
155,Heebiejeebies;Kehlani,Kehlani,Heebiejeebies
156,All We Ever Knew;The Head and the Heart,The Head and the Heart,All We Ever Knew
157,Copperhead Road;Steve Earle,Steve Earle,Copperhead Road
158,Reflection;BTS,BTS,Reflection
159,More;Rob,Rob,More
160,Lane Boy;twenty one pilots,twenty one pilots,Lane Boy
161,I Hate U;Prince,Prince,I Hate U
162,Ms. Fat Booty;Mos Def,Mos Def,Ms. Fat Booty
163,Thinking Out Loud;Ed Sheeran,Ed Sheeran,Thinking Out Loud
164,This Song;RAC,RAC,This Song
165,I Have Questions;Camila Cabello,Camila Cabello,I Have Questions
166,My Favorite Things;John Coltrane,John Coltrane,My Favorite Things
167,Year Zero;Ghost,Ghost,Year Zero
168,By Your Side;Sade,Sade,By Your Side
169,Not Nice;PARTYNEXTDOOR,PARTYNEXTDOOR,Not Nice
170,All Gold Everything;Trinidad James,Trinidad James,All Gold Everything
171,My Love;Major Lazer,Major Lazer,My Love
172,Every Kind of Way;H.E.R.,H.E.R.,Every Kind of Way
173,Feeling Good;Simone,Simone,Feeling Good
174,Simple Things;Miguel,Miguel,Simple Things
175,Intro;Dee,Dee,Intro
176,Midnight Rider;The Allman Brothers Band,The Allman Brothers Band,Midnight Rider
177,Everything Is Yours;Kehlani,Kehlani,Everything Is Yours
178,She's So High;Tal Bachman,Tal Bachman,She's So High
179,Brother;Eli,Eli,Brother
180,Water No Get Enemy;Fela Kuti,Fela Kuti,Water No Get Enemy
181,Chicago;Sufjan Stevens,Sufjan Stevens,Chicago
182,The Way;Chance the Rapper,Chance the Rapper,The Way
183,Hypnotised;Coldplay,Coldplay,Hypnotised
184,Bible On The Dash;Gunplay,Gunplay,Bible On The Dash
185,Before You Judge;Bryson Tiller,Bryson Tiller,Before You Judge
186,Naive;The Kooks,The Kooks,Naive
187,Heartwork;Carcass,Carcass,Heartwork
188,Lions;Skip Marley,Skip Marley,Lions
189,Sex With Me;Rihanna,Rihanna,Sex With Me
190,Losin' Weight;Prodigy,Prodigy,Losin' Weight
191,Ramblin' Man;The Allman Brothers Band,The Allman Brothers Band,Ramblin' Man
192,Suicidal Thoughts;The Notorious B.I.G.,The Notorious B.I.G.,Suicidal Thoughts
193,Crying in the Club;Camila Cabello,Camila Cabello,Crying in the Club
194,Ever Since New York;Harry Styles,Harry Styles,Ever Since New York
195,Strangers;Halsey,Halsey,Strangers
196,Dear Mama;2Pac,2Pac,Dear Mama
197,Harley;Lil Yachty,Lil Yachty,Harley
198,Feeling;COIN,COIN,Feeling
199,Meet Me in the Hallway;Harry Styles,Harry Styles,Meet Me in the Hallway
200,From the Dining Table;Harry Styles,Harry Styles,From the Dining Table
201,Whole Lotta Rosie;AC/DC,AC/DC,Whole Lotta Rosie
202,How's It Going to Be;Third Eye Blind,Third Eye Blind,How's It Going to Be
203,Do It Well;dvsn,dvsn,Do It Well
204,Sign of the Times;Harry Styles,Harry Styles,Sign of the Times
205,Don't Walk Away;Jade,Jade,Don't Walk Away
206,Angel;The Weeknd,The Weeknd,Angel
207,Whipping Post;The Allman Brothers Band,The Allman Brothers Band,Whipping Post
208,Santa Monica;Everclear,Everclear,Santa Monica
209,No More;ROT,ROT,No More
210,Green Light;Remi,Remi,Green Light
211,Jessica;The Allman Brothers Band,The Allman Brothers Band,Jessica
212,Forrest Gump;Frank Ocean,Frank Ocean,Forrest Gump
213,Runnin' Down a Dream;Tom Petty and the Heartbreakers,Tom Petty and the Heartbreakers,Runnin' Down a Dream
214,Daydreamin';Ariana Grande,Ariana Grande,Daydreamin'
215,Forever;Ivan,Ivan,Forever
216,Killed by Death;Motörhead,Motörhead,Killed by Death
217,Kiss Me Thru the Phone;Soulja Boy,Soulja Boy,Kiss Me Thru the Phone
218,The Glory;Kanye West,Kanye West,The Glory
219,You Wreck Me;Tom Petty,Tom Petty,You Wreck Me
220,Sarah Smiles;Panic! at the Disco,Panic! at the Disco,Sarah Smiles
221,Kiwi;Harry Styles,Harry Styles,Kiwi
222,Computer Blue;Prince,Prince,Computer Blue
223,Take Me With U;Prince,Prince,Take Me With U
224,Swish Swish;Katy Perry,Katy Perry,Swish Swish
225,Blue Sky;The Allman Brothers Band,The Allman Brothers Band,Blue Sky
226,Running Up That Hill;Kate Bush,Kate Bush,Running Up That Hill
227,Loved by You;Jazmine Sullivan,Jazmine Sullivan,Loved by You
228,Slide;Calvin Harris,Calvin Harris,Slide
229,You Don't Know;Jones,Jones,You Don't Know
230,There for You;Martin Garrix,Martin Garrix,There for You
231,I Do;Jeezy,Jeezy,I Do
232,Please Don't Go;Boyz II Men,Boyz II Men,Please Don't Go
233,I Am;Dio,Dio,I Am
234,Electric Intercourse;Prince,Prince,Electric Intercourse
235,Not Today;BTS,BTS,Not Today
236,Butterfly;BTS,BTS,Butterfly
237,No Longer Friends;Bryson Tiller,Bryson Tiller,No Longer Friends
238,Despacito;Daddy Yankee,Daddy Yankee,Despacito
239,Now and Later;Sage the Gemini,Sage the Gemini,Now and Later
240,Waiting on the World to Change;John Mayer,John Mayer,Waiting on the World to Change
241,Sippin on Some Syrup;Three 6 Mafia,Three 6 Mafia,Sippin on Some Syrup
242,Sweet Creature;Harry Styles,Harry Styles,Sweet Creature
243,What's Going On;Marvin Gaye,Marvin Gaye,What's Going On
244,Don't Like;Chief Keef,Chief Keef,Don't Like
245,Shape of You;Ed Sheeran,Ed Sheeran,Shape of You
246,Get It Together;Drake,Drake,Get It Together
247,Ring My Bell;Anita Ward,Anita Ward,Ring My Bell
248,Around the Way Girl;LL Cool J,LL Cool J,Around the Way Girl
249,Killer;Nipsey Hussle,Nipsey Hussle,Killer
250,Miserable at Best;Mayday Parade,Mayday Parade,Miserable at Best
251,I Won;Kanye West,Kanye West,I Won
